batch_id,paper_id,title,extraction_correct,corrected_start_text,corrected_end_text,reviewer_comments,reviewed_correct,corrected_successfully,review_status,reviewer_id,reviewed_at_utc,updated_at_utc
batch_011,1625,Neuronal autoantibodies and clinical significance in stiff-person spectrum disorder,false,,"those without (6/6 vs 4/14, p=0.0108). Conclusions: Patients with SPSD and NSA antibodies have better prognosis than those without antibodies.","truncated

also: not proceedings, but single abstact",false,true,reviewed,human_reviewer,2026-04-11T21:34:34.755762+00:00,2026-04-11T21:35:50.389205+00:00
batch_011,1932,An international survey of stiff person spectrum disorders: Exploring the clinical spectrum and unmet needs,false,,"Conclusions : This is the fi rst international multicentre SPSD study with prospective data collection bymovement disorder experts. Further plans include expanding this cohort and, using a health servicesapproach, identifying unmet needs in SPSD and areas for further research.","truncated

also: not proceedings, but single abstact",false,false,reviewed,human_reviewer,2026-04-11T21:36:34.284246+00:00,2026-04-11T21:36:34.284273+00:00
batch_011,1947,AN INTERESTING PRESENTATION OF STIFF-PERSON SYNDROME,false,,This in combination with angioedema and urticaria is a unique presentation not documented in the literature.,truncated,false,true,reviewed,human_reviewer,2026-04-11T21:37:45.698561+00:00,2026-04-11T21:37:45.698575+00:00
batch_011,3125,Poster 258 A Novel Approach to the Treatment of Stiff-Person-Syndrome with Botulinum Toxin: A Case Report.,false,,"Conclusions: Use of botulinum toxin in refractory symptoms for SPS can improve overall function with improved pain control, gait mechanics, and balance. Level of Evidence: Level V",truncated,false,true,reviewed,human_reviewer,2026-04-11T21:39:34.836596+00:00,2026-04-11T21:39:34.836616+00:00
batch_011,5029,Anti-Amphiphysin Positive Partial Stiff Person Syndrome in an Elderly Woman with a Breast Mass,false,,further research is needed toward the understanding the pathophysiology and treatment options.,truncated,false,true,reviewed,human_reviewer,2026-04-11T21:41:03.333578+00:00,2026-04-11T21:41:03.333598+00:00
batch_011,5079,Stiff-person syndrome positive for anti-amphyphisin antibodies: The presenting feature of a neuroendocrine lung cancer,false,,"Conclusion: Unusual acute SPS onset could suggest an overproduction of autoantibodies or a turnover point in the synaptic sensitivity. The detection of autoantibodies against amphyphisin, in patients with SPS, should be considered an indication for search an occult tumour, which could be other than the most commonly reported.",truncated,false,true,reviewed,human_reviewer,2026-04-11T21:42:53.417885+00:00,2026-04-11T21:42:53.417904+00:00
batch_011,5087,A CASE REPORT OF ATYPICAL STIFF PERSON SYNDROME WITH CRANIAL NERVE INVOLVEMENT PRECEEDING THE DIAGNOSIS OF A HIGH GRADE LYMPHOMA,false,,This case highlights the unusual presentation of antibody-negative paraneoplastic stiff person syndrome with cranial nerve involvement and emphasises the need for identification of other antibodies associated specifically with lymphoma.,truncated,false,true,reviewed,human_reviewer,2026-04-11T21:44:17.239923+00:00,2026-04-11T21:44:17.239936+00:00
batch_011,5158,A case of Type 1 diabetes with stiff person syndrome and coeliac disease,false,,patients with Type 1 diabetes presenting with atypical clinical or biochemical features.,truncated,false,true,reviewed,human_reviewer,2026-04-11T21:45:33.834305+00:00,2026-04-11T21:45:33.834326+00:00
batch_011,5212,STIFF-MAN SYNDROME WITH GAD-LIKE IMMUNOREACTIVITY - RESPONSE OF A PATIENT TO PLASMAPHERESIS AND IMMUNOSUPPRESSION,false,,"Conclusions. These results further support the use of serum GAD-LIR and exteroceptive reflexes as markers for stiff-man syndrome. Our findings also suggest that serum GAD-LIR may identify a subset of patients responsive to treatment, that corticosteroids may be efficacious even with increasing titers, and that CSF GAD-LIR is a risk factor for seizures.",the conclusions paragraph was truncated off,false,false,reviewed,human_reviewer,2026-04-11T21:47:05.567797+00:00,2026-04-11T21:47:05.567810+00:00
batch_011,5233,Familial stiff-man syndrome with GAD65 antibody,false,,"We report on a father and daughter with stiff-man syndrome (SMS) and GAD65 antibody (Ab). The family had multiple thyrogastric autoimmune disorders; type-1 diabetes, thyroiditis, and pernicious anemia appearing as dominant traits. The propositus had pernicious anemia and thyroiditis. At age 53 years, neurological symptoms and signs developed, consistent with SMS limited to one limb. GAD65Ab was 199 nmol/L (normal, #0.02 nmol/L). Azathioprine and diazepam reduced limb spasms and GAD65Ab (12.9 nmol/L). Classic SMS began in the daughter at age 31 years, progressing to episodic opisthotonos. Baclofen relieved symptoms. She had GAD65Ab (88.7 nmol/L) and thyroperoxidase Ab (100 IU/ ml; normal, ,20 IU/ml) but no clinical thyroiditis. Her asymptomatic daughter acquired GAD65Ab transplacentally (72.7 nmol/L at birth; 6.65 nmol/L at 3 months; 0.65 nmol/L at 7 months). SMS is usually sporadic, frequently coexisting with thyrogastric autoimmunity. Three families have been reported with congenital SMS. These cases antedated GAD65Ab testing and differed clinically from acquired SMS. Stiffness presented at birth, dysphagia was prominent, and facial muscles were involved. No coexisting autoimmune disorders were reported. Our report illustrates that SMS, like associated thyrogastric disorders, occurs in families as a dominant trait. Immunogenetic determinants of familial SMS may involve a common mutation responsible for abrogating self-tolerance in all of the associated but autoantigen-distinct disorders.",entire body text was truncated off,false,false,reviewed,human_reviewer,2026-04-11T21:48:17.367259+00:00,2026-04-11T21:48:17.367278+00:00
