paper_id,covidence_id,title,authors,resolved_source_category,resolved_source_subtype,resolved_source_route_source,source_text_json_path,trimmed_text_json_path,validated_text_json_path,preferred_text_source,proceedings_detected,trim_status,trim_reason,qc_status,manual_follow_up_required,best_match_page_index,title_score,author_score,combined_score,section_heading_count,body_char_count,header_only_flag,spillover_flag,span_located,span_detection_method,start_boundary_ok,start_boundary_rule,next_header_rule,meaningful_tail_gap_count,best_match_excerpt,qc_note,checked_at_utc
1119,1119,Antibody spectrum in stiff person syndrome and related disorders,Balint B.; Blocker I.M.; Unger M.; Stocker W.; Probst C.; Komorowski L.; Meinck H.M.,conference_abstract,group_conference_abstract,manual_review,data\extraction_json\text\1119.json,qa\trimming\reports\batch_002\text_trimmed\1119.json,qa\trimming\reports\batch_002\text_trimmed\1119.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,262,0.6671,0.8571,0.7146,5,2394,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"670 Antibody spectrum in stiff person syndrome and related disorders B. Balint, I.M. Bl €ocker, M. Unger, W. St €ocker, C. Probst, L. Komorowski, H.M. Meinck (London, United Kingdom) Objective: To determine the spectrum and prevalence of antibod- ies associated with Stiff Person Syndrome and related disorders (SPSD) in a large cohort. Background: New antibodies targeting the glycine receptor (GlyR), GABA A receptor (GABAAR), and dipeptidyl-peptidase-like protein-6 (DPPX) have been recently descr",Trimmed proceedings text matches and appears complete.,2026-04-06T20:28:27.367788+00:00
1120,1120,Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea,Zhang G.; Liu L.; Xiong N.; Huang J.; Wang T.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1120.json,qa\trimming\reports\batch_002\text_trimmed\1120.json,qa\trimming\reports\batch_002\text_trimmed\1120.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,292,0.6962,1.0000,0.7721,5,1822,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"740 Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea G. Zhang, L. Liu, N. Xiong, J. Huang, T. Wang (Wuhan, People’s Republic of China) Objective: To present a case report of anti-GAD65 negative stiff- person syndrome with a favorable response to pregabalin accompa- nying central sleep apnea. Background: Stiff-person syndrome (SPS) is a rare immune- mediated disorder characterized by muscle stiffness a",Trimmed proceedings text matches and appears complete.,2026-04-06T20:28:34.823220+00:00
1129,1129,"GAD autoimmunity: Syndromes, comorbidities, and coexisting antibodies in 121 patients",Arino H.; Gresa-Arribas N.; Hoftberger R.; Martinez-Hernandez E.; Armangue T.; Kruer M.C.; Arpa J.; Domingo J.; Rojc B.; Bataller L.; Saiz A.; Dalmau J.; Graus F.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1129.json,qa\trimming\reports\batch_002\text_trimmed\1129.json,qa\trimming\reports\batch_002\text_trimmed\1129.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,72,0.6792,0.5000,0.6344,0,1617,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"M103. GAD Autoimmunity: Syndromes, Comorbidities, and Coexisting Antibodies in 121 Patients Helena Ari ~no, Nuria Gresa-Arribas, Romana H €oftberger, Euge- nia Mart/C19ınez-Hern/C19andez, Tha/C19ıs Armangue, Michael C. Kruer, Javier Arpa, Julio Domingo, Bojan Rojc, Luis Bataller, Albert Saiz, Josep Dalmau and Francesc Graus. Barcelona, Spain; Vienna, Austria; Stockholm, Sweden; Sioux Falls; Madrid, Spain; Izola, Slovenia; Valencia, Spain and Philadelphia GAD65-antibodies associate with several n",Trimmed proceedings text matches and appears complete.,2026-04-06T20:28:37.429709+00:00
1138,1138,Stiff person syndrome: Review of 14 patients,Cavalcante V.; Souza Bulle Oliveira A.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1138.json,qa\trimming\reports\batch_002\text_trimmed\1138.json,qa\trimming\reports\batch_002\text_trimmed\1138.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,0.6646,1.0000,0.7485,4,1877,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"1121 WFN15-1338 Neuromuscular Disorders Stiff person syndrome: review of 14 patients V. Cavalcante, A. Souza Bulle Oliveira. Neurology and Neurosurgery, Federal University of São Paulo, São Paulo, Brazil Stiff person syndrome (SPS) is an autoimmune disorder of the central nervous system presenting with muscular rigidity in the axial (trunk) and or limbs muscles; episodic spasms; continuous co- contraction of agonist and antagonist muscles con ﬁrmed electro- physiologically and positive serum ant",Trimmed proceedings text matches and appears complete.,2026-04-06T20:28:37.462564+00:00
1150,1150,Stiff person syndrome presenting as 'stiff eyes',Vinjam M.R.; Shanmugarajan P.; Ford H.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1150.json,,data\extraction_json\text\1150.json,full_text,false,not_needed,Document does not look like a large proceedings/program PDF.,untrimmed_localised,true,0,0.6500,0.6667,0.6542,0,1633,false,false,false,,false,,,0,"036 STIFF PERSON SYNDROME PRESENTING AS ‘STIFF EYES’ Maruthi Ravi Vinjam, Priya Shanmugarajan, Helen Ford. Leeds Teaching Hospitals NHS trust 10.1136/jnnp-2015-312379.36 A 47-year previously ﬁt and well lady presented with 6 weeks history of generalised lethargy , weight loss and neck pain. Her examination revealed left supra-clavicular lymph nodes. Subsequent investigations revealed left grade 2 invasive ductal carcinoma of her left breast. This was treated with local excision. She presented to",Target appears localised in full proceedings text; trimming/manual review is still required.,2026-04-06T20:28:37.466746+00:00
1153,1153,A new clinical tool (BRIT) to monitor IVIg efficacy in patients with stiff person syndrome,Weerasinghe S.; Sadalage G.; Jacob S.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1153.json,,data\extraction_json\text\1153.json,full_text,false,not_needed,Document does not look like a large proceedings/program PDF.,untrimmed_localised,true,0,0.7061,1.0000,0.7796,0,1814,false,false,false,,false,,,0,"132 A NEW CLINICAL TOOL (BRIT) TO MONITOR IVIG EFFICACY IN PATIENTS WITH STIFF PERSON SYNDROME Savinda Weerasinghe,1 Girija Sadalage,2 Saiju Jacob1,2. 1University of Birmingham; 2Queen Elizabeth Neuroscience Centre, University Hospitals Birmingham 10.1136/jnnp-2015-312379.132 Stiff person syndrome (SPS) is a chronic, progressive neuro- logical disorder characterized by painful muscle spasms and rigidity with high titres of circulating anti-GAD antibodies. Intravenous immunoglobulin (IVIg) has be",Target appears localised in full proceedings text; trimming/manual review is still required.,2026-04-06T20:28:37.471281+00:00
1154,1154,Clinical features and treatment response in a large UK cohort of stiff person syndrome patients,Sadalage G.; Karim A.; Jacob S.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1154.json,,data\extraction_json\text\1154.json,full_text,false,not_needed,Document does not look like a large proceedings/program PDF.,untrimmed_localised,true,0,0.6827,1.0000,0.7620,0,1653,false,false,false,,false,,,0,"133 CLINICAL FEATURES AND TREATMENT RESPONSE IN A LARGE UK COHORT OF STIFF PERSON SYNDROME PATIENTS Girija Sadalage,1 Abid Karim,2 Saiju Jacob1,2. 1Queen Elizabeth Neuroscience Centre, University Hospitals Birmingham; 2University of Birmingham 10.1136/jnnp-2015-312379.133 Stiff Person syndrome (SPS) is a chronic autoimmune neuro- logical disorder causing muscle stiffness, excessive startle and pain. Patients often have anti-GAD and occasionally anti- amphiphysin antibodies (especially in the par",Target appears localised in full proceedings text; trimming/manual review is still required.,2026-04-06T20:28:37.475462+00:00
1215,1215,Three cases of elevated IL-1beta in common variable immunodeficiency (CVID) with autoimmune complications,Toh J.; Gavrilova T.; Rubinstein A.,conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\1215.json,qa\trimming\reports\batch_002\text_trimmed\1215.json,qa\trimming\reports\batch_002\text_trimmed\1215.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,0.6818,1.0000,0.7614,5,1953,false,false,true,trim_record_indices,true,coded_boundary,no_header_found,0,"58 Three Cases of Elevated IL-1beta in Common Variable Immunodeficiency (CVID) with Autoimmune Complications Jennifer Toh, MD 1, Tatyana Gavrilova, MD 2, Arye Rubinstein, MD, FAAAAI3; 1Albert Einstein/Monteﬁore Medical Center, Bronx, NY , 2Allergy and Immunology, Monteﬁore Medical Center, Bronx, NY , 3Albert Einstein College of Medicine and Monteﬁore Hospital, Bronx, NY . RATIONALE: Altered cytokine levels, such as TNF-alpha and IL-6, have been described in common variable immunodeﬁciency (CVID)",Trimmed proceedings text matches and appears complete.,2026-04-06T20:28:37.510059+00:00
1217,1217,Epidemiology of stiff person syndrome in the United States veterans health administration database,Galli J.; Greenlee J.; Soldan M.P.; Clardy S.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1217.json,,data\extraction_json\text\1217.json,full_text,false,not_needed,Document does not look like a large proceedings/program PDF.,untrimmed_localised,true,0,0.6771,1.0000,0.7578,1,2183,false,false,false,,false,,,0,"Epidemiology of Stiff Person Syndrome in the United States Veterans Health Administration Database (P3.356) Jonathan Galli, John Greenlee, M. Paz Soldan, Stacey Clardy First published April 4, 2016, Abstract Objective: Stiff person syndrome is an autoimmune disease that typically presents with symptoms of proximal limb and axial muscle rigidity and spasms and is often associated with glutamic acid decarboxylase 65 (GAD65) autoantibodies. The Veterans Health Administration (VHA) population repres",Target appears localised in full proceedings text; trimming/manual review is still required.,2026-04-06T20:28:37.514677+00:00
1227,1227,Role of plasma exchange in stiff person syndrome,Albahra S.; Yates S.; Matevosyan K.; Sarode R.,conference_abstract,group_conference_abstract,manual_review,data\extraction_json\text\1227.json,qa\trimming\reports\batch_002\text_trimmed\1227.json,qa\trimming\reports\batch_002\text_trimmed\1227.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,44,0.6596,1.0000,0.7447,4,3297,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"77 ROLE OF PLASMA EXCHANGE IN STIFF PERSON SYNDROME Said Albahra, MD, Sean Yates, MD, Karen Matevosyan, MD and Ravi Sarode, MD Pathology, UT Southwestern, Dallas, Texas Purpose: Stiff person syndrome (SPS) is a rare neurologic auto- immune disease characterized by progressive axial and proximal limb rigidity, agonist and antagonist muscle contraction, and intermittent muscular spasms precipitated by various stimuli. Autoantibodies against antigens found predominately within the inhibitory synaps",Trimmed proceedings text matches and appears complete.,2026-04-06T20:28:38.476261+00:00
