paper_id,covidence_id,title,authors,source_filename,source_text_json_path,trimmed_text_json_path,n_pages,abstract_block_count,title_like_line_count,author_like_line_count,program_marker_count,proceedings_signal_score,proceedings_detected,index_detected,index_confidence,index_listed_page,index_prev_code,index_next_code,page_map_method,estimated_offset,offset_confidence,fallback_triggered,trim_status,trim_reason,trim_method,trim_mode,matched_block_code,matched_block_title,title_score,author_score,match_score,start_rule,end_rule,body_signal_count,spillover_flag,header_only_flag,candidate_rank,start_page_index,end_page_index,start_line_global_index,end_line_global_index_exclusive,trimmed_at_utc
1333,1333,Glycine antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM): A paediatric presentation,Kariyawasam D.S.T.; Hildebrand D.; Jayawant S.; Palace J.; Leite M.I.; Ramdas S.,1333_Kariyawasam D.S.T. et al. - 2017 - Glycine antibody mediated progressive encephalomye.pdf,data\extraction_json\text\1333.json,qa\trimming\reports\stage05_regression_guard\tranche_004\text_trimmed\1333.json,90,97,453,340,1,5,true,true,0.1516,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,107,107 12th January 2017 Glycine antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM): a paediatric presentation,0.9692,0.6667,0.8936,,,4,false,false,1,40,40,4460,4510,2026-04-11T10:58:53.783956+00:00
1393,1393,Stiff limb syndrome: A case report,Farhat E.; Zouari M.; Beyrouti R.; Sassi S.B.; Hentati F.,1393_Euro J of Neurology - 2014 - - Paper Poster Sessions.pdf,data\extraction_json\text\1393.json,qa\trimming\reports\stage05_regression_guard\tranche_004\text_trimmed\1393.json,323,107,328,365,2,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,PP2171,PP2171 Stiff limb syndrome: a case report,0.9664,1.0000,0.9748,,,4,false,false,1,134,134,10943,10980,2026-04-11T11:00:10.337514+00:00
1395,1395,An atypical Stiff-Person Syndrome associated with type 3 autoimmune polyglandular syndrome,Viana P.; Abreu L.; Fonseca V.R.; Cortes M.; Neutel D.; Pita Lobo P.; Albuquerque L.,1395_Atypical - s00415-014-7337-4.pdf,data\extraction_json\text\1395.json,qa\trimming\reports\stage05_regression_guard\tranche_004\text_trimmed\1395.json,524,111,492,434,2,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,PP4124,PP4124 An atypical Stiff-Person syndrome associated with type 3 autoimmune polyglandular syndrome,0.9869,1.0000,0.9902,,,4,false,false,1,433,433,48260,48295,2026-04-11T11:03:10.339629+00:00
1397,1397,Reducing excess stiffness in stiff-person syndrome using CBT: A case study,Morris L.L.; Dysch L.; Salkovskis P.M.,1397_Movement Disorders - 2014 - - Poster Presentations.pdf,data\extraction_json\text\1397.json,qa\trimming\reports\stage05_regression_guard\tranche_004\text_trimmed\1397.json,571,102,382,182,1,8,true,true,0.1193,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,65,65 Reducing excess stiffness in stiff-person syndrome using CBT: A case study,0.9930,1.0000,0.9947,,,6,false,false,1,22,23,2619,2649,2026-04-11T11:06:24.165514+00:00
1398,1398,A neurological syndrome in a patient with anti glutamic acid decarboxylase (GAD) antibodies,Rachana G.; Tarannum K.,1398_mds.25914.pdf,data\extraction_json\text\1398.json,qa\trimming\reports\stage05_regression_guard\tranche_004\text_trimmed\1398.json,571,104,382,182,0,6,true,true,0.0800,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,321,321 A neurological syndrome in a patient with anti glutamic acid decarboxylase (GAD) antibodies,0.9923,1.0000,0.9942,,,5,false,false,1,124,124,13482,13516,2026-04-11T11:09:25.444746+00:00
1407,1407,Increased cortical excitability in patients with stiff person syndrome assessed by paired-pulse transcranial magnetic stimulation. A case study of two patients,Wilenius J.; Vaalto S.; Toppila J.; Partanen J.,1407_Wilenius P1022 Increased cortical excitability.pdf,data\extraction_json\text\1407.json,qa\trimming\reports\stage05_regression_guard\tranche_004\text_trimmed\1407.json,1,3,14,11,1,8,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P1022,P1022 Increased cortical excitability in patients with stiff person syndrome assessed by paired-pulse transcranial magnetic stimulation. A case study of two patients,0.9935,1.0000,0.9951,,,3,false,false,1,0,0,33,65,2026-04-11T11:09:37.403020+00:00
1416,1416,Immunomodulatory therapy in stiff-person syndrome (SPS): A controlled Rituximab-randomised study,Amarandei M.,1416_Amarandei M. - 2017 - Immunomodulatory therapy in stiff-person syndrome .pdf,data\extraction_json\text\1416.json,qa\trimming\reports\stage05_regression_guard\tranche_004\text_trimmed\1416.json,627,89,368,256,1,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,1292,1292 Immunomodulatory therapy in stiff-person syndrome (SPS): a controlled Rituximab-randomised study,0.9908,1.0000,0.9931,,,5,false,false,1,505,505,51267,51302,2026-04-11T11:12:14.501642+00:00
1418,1418,Stiff-limb syndrome with cerebellar features and atypical EMG findings responds to IVIG,Rametta S.; Robinson G.; Hellmers N.; Jacoby N.; Sarva H.,1418_Rametta S. et al. - 2017 - Stiff-limb syndrome with cerebellar features and a.pdf,data\extraction_json\text\1418.json,qa\trimming\reports\stage05_regression_guard\tranche_004\text_trimmed\1418.json,627,89,368,256,1,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,1316,1316 Stiff-limb syndrome with cerebellar features and atypical EMG ﬁndings responds to IVIG,0.9902,1.0000,0.9927,,,5,false,false,1,515,516,52221,52268,2026-04-11T11:14:26.780113+00:00
1433,1433,Early empirical treatment of antibody-negative autoimmune/paraneoplastic encephalitis with immunosuppression,Dai P.; Lin M.-W.; Mahant N.; Gao B.; Brown D.,1433_imj.7_13579.pdf,data\extraction_json\text\1433.json,qa\trimming\reports\stage05_regression_guard\tranche_004\text_trimmed\1433.json,1,5,24,14,0,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,CGR 7,EARLY EMPIRICAL TREATMENT OF ANTIBODY-NEGATIVE AUTOIMMUNE/PARANEOPLASTIC ENCEPHALITIS WITH IMMUNOSUPPRESSION,1.0000,1.0000,0.9089,backtrack_abstract_boundary,next_abstract_boundary,1,false,false,1,0,0,72,116,2026-04-11T11:14:44.915560+00:00
1439,1439,Unrecognized respiratory manifestations of stiff person syndrome (SPS),Rakocevic G.; Woodford M.; Pack K.; Allen A.; Sexaur W.,1439_Rakocevic G. et al. - 2017 - Unrecognized respiratory manifestations of stiff p.pdf,data\extraction_json\text\1439.json,qa\trimming\reports\stage05_regression_guard\tranche_004\text_trimmed\1439.json,233,496,383,1351,2,8,true,true,0.1303,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,M300,Unrecognized Respiratory Manifestations of Stiff Person Syndrome (SPS),1.0000,1.0000,1.0000,,,4,false,false,1,197,197,22263,22318,2026-04-11T11:16:03.612466+00:00
